snapshot_utc,as_of_block,netuid,name,burn_pct,miner_slots,earning,earn_rate_pct,miner_accessible_alpha_day,inc_share_non_permit,inc_share_permit_holders,top_alpha_day,p75_alpha_day,median_alpha_day,p25_alpha_day,top10_share_pct,reg_cost_tao,alpha_price_tao_at_snapshot,payback_days_at_snapshot_price,uid_total,at_uid_cap,immunity_period_blocks,immunity_days,registration_allowed,min_burn_tao,burn_increase_mult,setup,runtime,min_compute,last_commit,subnet_risk
2026-08-11T04:30:02Z,8818814,91,cascade,0.0,249,5,2.0,2952.0,0.9999,0.0,1461.383,730.669,434.1852,217.0701,49.5,0.120796747,0.009160985,0.0,256,True,5000,0.69,True,0.1,1.26,high,python,False,2026-08-11,low
2026-08-11T04:30:02Z,8818814,114,SOMA,0.0,245,1,0.4,2952.0,0.1,0.9,295.1775,295.1775,295.1775,295.1775,100.0,0.142072338,0.011520203,0.0,256,True,5000,0.69,True,0.05,1.26,low,python,False,2026-08-07,low
2026-08-11T04:30:02Z,8818814,127,Astrid,70.64,242,3,1.2,866.75,0.2936,0.0,519.9952,519.9952,259.9976,86.6659,60.0,0.0005,0.002907313,0.0,256,True,5000,0.69,True,0.0005,1.26,low,docker,False,2026-07-28,medium
2026-08-11T04:30:02Z,8818814,55,NIOME,2.0,247,10,4.0,2892.95,0.9799,0.0,578.6434,578.6434,216.9575,144.4131,20.0,0.0005,0.002790357,0.0,256,True,7200,1.0,True,0.0005,1.26,low,python,True,2026-07-30,high
2026-08-11T04:30:02Z,8818814,70,NexisGen,0.0,248,2,0.8,2952.0,0.0969,0.9031,190.3586,190.3586,142.9717,95.5847,66.6,0.9,0.001332051,4.7,256,True,5000,0.69,True,0.9,1.26,med,python,False,2026-07-17,critical
2026-08-11T04:30:02Z,8818814,100,BASE,0.0,246,7,2.8,2952.0,0.9999,0.0,1475.9324,737.9662,122.9718,122.9718,50.0,0.016186025,0.006210777,0.0,256,True,5000,0.69,True,0.0005,1.26,high,docker,False,2026-08-10,low
2026-08-11T04:30:02Z,8818814,124,Swarm,0.0,240,22,9.2,2952.0,0.9494,0.0504,330.0871,157.5211,107.8819,72.4768,19.8,0.5,0.010039038,0.5,256,True,5000,0.69,True,0.5,1.26,med,python,True,2026-08-10,low
2026-08-11T04:30:02Z,8818814,76,Phylax,0.0,241,6,2.5,2952.0,0.2522,0.7477,335.087,201.0342,85.6073,22.2971,45.0,0.0,0.002675254,0.0,256,True,100,0.01,True,0.0,1.26,med,python,False,2026-08-09,high
2026-08-11T04:30:02Z,8818814,56,Gradients,72.29,243,11,4.5,817.88,0.2768,0.0002,291.5739,146.8005,44.414,0.2703,35.7,0.0005,0.017041193,0.0,256,True,5000,0.69,True,0.0005,1.26,high,docker,False,2026-08-11,low
2026-08-11T04:30:02Z,8818814,2,DSperse,82.65,245,11,4.5,512.29,0.1544,0.0191,133.0618,60.4049,38.1078,9.9999,29.2,0.0005,0.00417308,0.0,256,True,5000,0.69,True,0.0005,1.26,med,docker,False,2026-08-10,low
2026-08-11T04:30:02Z,8818814,6,Numinous,0.0,239,17,7.1,2952.0,0.7007,0.2992,764.5876,153.4671,36.2609,11.8918,37.0,0.2,0.003192553,1.7,256,True,63800,8.86,True,0.2,1.26,low,python,False,2026-08-07,medium
2026-08-11T04:30:02Z,8818814,26,Perturb,50.17,250,8,3.2,1471.07,0.1302,0.368,213.5116,43.1528,27.725,17.6575,55.5,0.1,0.004145776,0.9,256,True,5000,0.69,True,0.1,1.26,med,python,False,2026-08-06,immune
2026-08-11T04:30:02Z,8818814,74,Gittensor,63.03,237,11,4.6,1091.48,0.244,0.1256,295.4928,100.9,19.0539,6.4864,41.0,0.15,0.003788308,2.1,256,True,5000,0.69,True,0.15,3.0,low,python,True,2026-08-07,medium
2026-08-11T04:30:02Z,8818814,41,Almanac,72.5,247,65,26.3,811.66,0.2748,0,34.7745,12.5224,11.3963,10.4053,20.3,0.1,0.005009981,1.8,256,True,14400,2.0,True,0.1,1.26,med,docker,False,2026-08-06,low
2026-08-11T04:30:02Z,8818814,21,AdTAO,45.12,247,117,47.4,1619.99,0.5481,0.0,42.6573,10.3603,10.3152,3.4234,28.8,0.1,0.003072261,3.2,256,True,10800,1.5,True,0.1,1.26,med,python,True,2026-08-09,medium
2026-08-11T04:30:02Z,8818814,107,Minos,0.0,85,20,23.5,2952.0,0.9998,0.0,2654.3,30.6754,9.054,3.2883,92.0,0.99,0.060787203,1.8,94,False,14400,2.0,True,0.99,1.26,med,docker,True,2026-08-10,low
2026-08-11T04:30:02Z,8818814,50,Synth,0.0,248,235,94.8,2952.0,0.9982,0.0,31.8466,19.0088,8.063,7.3873,21.1,0.8,0.004836828,20.5,256,True,65535,9.1,True,0.8,1.26,med,docker,True,2026-07-30,low
2026-08-11T04:30:02Z,8818814,83,CliqueAI,0.0,192,185,96.4,2952.0,0.6517,0.3462,22.0719,18.5133,7.4324,1.5315,19.3,0.114104134,0.010557952,1.5,256,True,6000,0.83,True,0.1,1.7030607900432773,med,python,True,2026-07-22,low
2026-08-11T04:30:02Z,8818814,5,Hone,42.37,244,239,98.0,1701.29,0.5719,0,7.5225,7.2972,7.1621,7.027,10.2,0.076992543,0.013687448,0.8,256,True,4000,0.56,True,0.0005,1.26,med,docker,False,2026-01-29,low
2026-08-11T04:30:02Z,8818814,79,MVTRX,0.0,255,214,83.9,2952.0,0.9981,0.0,261.5742,11.2161,4.2117,1.6216,62.2,0.157764012,0.007479494,5.0,256,True,7200,1.0,True,0.0005,1.26,med,python,True,2026-08-06,low
2026-08-11T04:30:02Z,8818814,13,Data Universe,70.68,246,235,95.5,865.4,0.2889,0.0007,4.6396,4.3693,4.009,3.1982,12.3,0.04816597,0.00628388,1.9,256,True,12000,1.67,True,0.0005,1.26,med,python,False,2026-08-05,low
2026-08-11T04:30:02Z,8818814,88,Investing,0.0,241,109,45.2,2952.0,0.9949,0.0041,674.0929,10.6305,3.6937,0.8558,76.2,0.01,0.005177047,0.5,256,True,21600,3.0,True,0.01,1.26,low,python,True,2026-08-05,low
2026-08-11T04:30:02Z,8818814,18,Zeus,32.87,248,32,12.9,1981.69,0.671,0.0,891.2531,4.054,3.5135,2.7928,95.3,0.999999999,0.005076461,56.1,257,True,65535,9.1,True,0.999999999,1.26,med,python,True,2026-07-29,low
2026-08-11T04:30:02Z,8818814,43,Graphite,79.64,243,7,2.9,600.9,0.0182,0.1852,30.4051,15.2701,3.018,0.2703,56.4,0.1,0.005368408,6.2,256,True,5000,0.69,True,0.1,1.26,low,python,True,2025-10-12,low
2026-08-11T04:30:02Z,8818814,15,ORO,0.0,241,82,34.0,2952.0,0.06,0.9394,4.5045,3.2883,1.982,1.0811,18.2,0.255751564,0.022391796,5.8,256,True,5000,0.69,True,0.1,1.26,med,docker,False,2026-08-06,low
2026-08-11T04:30:02Z,8818814,54,Yanez MIID,30.94,245,64,26.1,2038.68,0.6918,0,1034.9905,1.5315,1.1486,0.991,96.8,0.0005,0.004651408,0.1,256,True,5000,0.69,True,0.0005,1.26,med,python,True,2026-08-03,low
2026-08-11T04:30:02Z,8818814,8,Vanta,0.0,238,34,14.3,2952.0,0.2973,0.7025,551.1211,0.1351,0.1351,0.045,80.5,0.0005,0.029882599,0.1,256,True,1200,0.17,True,0.0005,1.26,low,python,False,2026-08-10,low
2026-08-11T04:30:02Z,8818814,63,Enigma,0.0,244,9,3.7,2952.0,0.0001,0.9998,0.045,0.045,0.045,0.045,11.1,0.0005,0.008204446,1.4,256,True,4096,0.57,True,0.0005,1.26,low,python,True,2026-07-17,low
2026-08-11T04:30:02Z,8818814,126,Poker44,30.29,243,0,0.0,2057.95,0,0.6971,0.0,0.0,0.0,0.0,0.0,0.2,0.005018125,never,256,True,5000,0.69,True,0.2,1.26,med,python,False,2026-08-09,low
2026-08-11T04:30:02Z,8818814,48,Quantum Compute,0.0,234,0,0.0,2952.0,0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0005,0.004482677,never,256,True,2000,0.28,True,0.0005,1.26,high,python,True,2026-07-06,low
